Latitude,Longitude,LatLong,Label,Date,Link,Place,Note1,Note2,Note3,Note4,Note5
44.72942,116.43738,,12,28-Jun,https://latitudes.bandcamp.com/track/44-43-475968-n-116-26-175128-w,"On the front porch of Li’s Chinese restaurant in Council, Idaho ","When we walk in the chef, a man with a buzz cut and a torn plastic camo jacket, runs to the back and turns on a multicolored boombox and begins dancing wildly, Gangnam style ","There is no menu, he says. The menu is in his head. ","We toast each other with slices of watermelon that arrive inexplicably and he says, my children have gone home to Shanghai, it is hard to own a restaurant here, I have not heard anyone speak Chinese for years",,
45.422111,116.315411,,13,29-Jun,https://latitudes.bandcamp.com/track/45-25-195996-n-116-18-554796-w,"On the back of a truck headed to Riggins, Idaho ","I worry about you kids, says the old man who approaches us outside of a cafe where we have only ordered chicken soup and coffee. The canyon pass gets nasty and narrow. ","You'll have to ride in the back, he says, if that's ok. Too much stuff in the front. ",But the lady can sit on the ice chest if its more comfortable.,,
45.844,116.237,46° 30' 38.5308'' N114° 43' 3.8208'' W,14,30-Jun,https://latitudes.bandcamp.com/track/45-50-384-n-116-14-132-w,"On a pull off on the way up to White Bird Hill, Idaho ","It's a steep hill, says the man in the RV park that morning. You'll see that grade and go, holy smokes. And it'll take you all day. ",It takes us all day.,,,
46.144894,115.977919,46° 51' 40.9716'' N113° 59' 40.3656'' W,15,1-Jul,https://latitudes.bandcamp.com/track/46-8-416184-n-115-58-405084-w,"Outside the public library in Kooskia, Idaho ","Blocks away from the supermarket where, in the Oriental section, we consider buying a packet of Golden Curry ","Camped outside a library that is closed on weekends but has, improbably, open WiFi ","Listening to the sound of flags against the poles, next to other cars checking their phones",,
46.510703,114.717728,46° 50' 44.8656'' N114° 1' 38.7984'' W,16,2-Jul,https://latitudes.bandcamp.com/track/46-30-385308-n-114-43-38208-w,"In the dining room of Lochsa Lodge, Idaho","Free camping for cyclists and a pine scented shower so nice that we, of course, take multiple of the little soaps
","Mysteriously, many of the waitstaff appear Swedish",,,
46.861381,113.994546,46° 24' 59.7204'' N114° 9' 0.3636'' W,17,3-Jul,https://latitudes.bandcamp.com/track/46-51-409716-n-113-59-403656-w,"In the living room of 240 Daly Avenue, Missoula, Montana",,,,,
46.845796,114.027444,,18,4-Jul,https://latitudes.bandcamp.com/track/46-50-448656-n-114-1-387984-w,"In the parking lot of Southgate Mall in Missoula, Montana","""Get yourself some grub at the food trucks, and check out the beer garden""","""And a special thank you to our community orchestra.""",,,
46.416589,114.150101,,19,5-Jul,https://latitudes.bandcamp.com/track/46-24-597204-n-114-9-03636-w,"In the single room hair salon in Victor, Montana",,,,,
,,,20,6-Jul,,,,,,,
,,,21,7-Jul,,,,,,,
,,,,8-Jul,,,,,,,
,,,,9-Jul,,,,,,,
